"depths","times","stages"
1,0,1
9,60,1
13,120,1
13,180,1
13,240,1
13,300,1
13,360,1
14,420,1
14,480,1
16,540,1
15,600,1
15,660,1
15,720,1
15,780,2
15,840,2
15,900,2
15,960,2
15,1020,2
15,1080,2
15,1140,2
15,1200,2
15,1260,2
15,1320,2
15,1380,2
15,1440,2
15,1500,2
15,1560,2
15,1620,3
15,1680,3
15,1740,3
15,1800,3
15,1860,3
14,1920,3
14,1980,3
14,2040,3
14,2100,3
14,2160,3
14,2220,3
14,2280,3
14,2340,3
14,2400,3
14,2460,3
14,2520,3
14,2580,3
13,2640,3
13,2700,3
13,2760,3
13,2820,3
13,2880,3
12,2940,3
12,3000,3
12,3060,3
11,3120,3
10,3180,3
9,3240,3
9,3300,3
9,3360,3
9,3420,3
8,3480,3
7,3540,3
5,3600,3
2,3660,3
1,3720,3
