"depths","times","stages"
1,0,1
4,60,1
5,120,1
8,180,1
8,240,1
10,300,1
10,360,1
12,420,1
14,480,1
14,540,1
14,600,1
14,660,2
14,720,2
14,780,2
14,840,2
14,900,2
14,960,2
14,1020,2
14,1080,2
14,1140,2
14,1200,2
14,1260,2
14,1320,2
14,1380,2
14,1440,2
14,1500,2
14,1560,2
14,1620,2
13,1680,3
13,1740,3
13,1800,3
12,1860,3
11,1920,3
11,1980,3
11,2040,3
11,2100,3
11,2160,3
10,2220,3
9,2280,3
9,2340,3
9,2400,3
9,2460,3
9,2520,3
9,2580,3
9,2640,3
7,2700,3
6,2760,3
5,2820,3
5,2880,3
5,2940,3
5,3000,3
3,3060,3
2,3120,3
1,3180,3
