"depths","times","stages"
1,0,1
7,60,1
9,120,1
10,180,1
12,240,1
13,300,1
14,360,1
15,420,1
16,480,1
15,540,1
15,600,2
15,660,2
15,720,2
15,780,2
15,840,2
15,900,2
15,960,2
15,1020,2
15,1080,2
15,1140,2
15,1200,2
15,1260,2
15,1320,2
15,1380,2
15,1440,3
15,1500,3
14,1560,3
14,1620,3
14,1680,3
14,1740,3
14,1800,3
14,1860,3
14,1920,3
14,1980,3
14,2040,3
14,2100,3
14,2160,3
14,2220,3
13,2280,3
13,2340,3
13,2400,3
13,2460,3
13,2520,3
13,2580,3
13,2640,3
13,2700,3
13,2760,3
11,2820,3
9,2880,3
6,2940,3
5,3000,3
5,3060,3
2,3120,3
1,3180,3
